hjd,camera,mag,mag_err,flux,flux_err
2458430.82186,ba,16.03,0.08405,1.485,0.115
2457553.07404,ba,16.412,0.10853,1.045,0.104
2457943.82968,be,16.483,99.99,0.619,0.196
2458066.924,ba,16.451,0.1112,1.008,0.103
2457755.76476,bb,16.298,0.10312,1.125,0.107
2457643.84673,bb,15.939,0.08073,1.566,0.116
2457264.05044,ba,16.192,0.09399,1.279,0.111
2456814.09864,ba,16.862,0.1397,0.69,0.089
2457308.83541,ba,16.091,0.0877,1.404,0.113
2457314.86658,ba,16.204,0.09475,1.265,0.11
2457673.88659,ba,15.903,0.0768,1.67,0.118
2458336.13688,ba,15.953,99.99,1.236,0.319
2456876.01311,bb,16.106,0.09071,1.343,0.112
2456520.9495,ba,15.988,0.08159,1.544,0.116
2457581.0594,ba,16.025,0.08375,1.492,0.115
2456900.89898,ba,15.98,0.08113,1.555,0.116
2456863.02852,bb,16.503,0.11716,0.931,0.1
2456920.06678,ba,16.346,0.10406,1.11,0.106
2456535.96278,bb,16.152,0.0936,1.287,0.111
2457577.0747,ba,16.232,0.09655,1.233,0.11
2456825.07155,ba,16.129,0.09003,1.356,0.112
2457962.0388,ba,16.644,0.12463,0.844,0.097
2457390.75449,bb,16.493,0.11646,0.94,0.101
2458064.93458,ba,15.743,0.06842,1.936,0.122
2457967.09389,bb,16.459,0.1141,0.969,0.102
2457004.80118,ba,15.965,0.08027,1.578,0.117
2457245.01312,bb,16.397,0.10983,1.027,0.104
2457721.86335,bb,16.234,0.09889,1.193,0.109
2456531.88278,bb,16.245,0.09961,1.181,0.108
2456864.03014,ba,15.946,0.0792,1.606,0.117
2457907.10455,bb,16.388,0.10921,1.035,0.104
2457761.74157,ba,15.852,0.07404,1.75,0.119
2457043.71372,bb,16.469,0.11479,0.961,0.101
2458026.97062,bb,16.494,0.11653,0.939,0.101
2457290.99196,ba,16.384,0.10662,1.072,0.105
2457559.0686,bb,16.253,0.10014,1.173,0.108
2458012.98294,bb,16.185,0.09571,1.248,0.11
2456967.92576,bb,15.571,0.06187,2.197,0.125
2456888.99144,ba,16.095,0.08794,1.4,0.113
2457202.04238,ba,16.185,0.09354,1.288,0.111
2458049.96146,bb,16.241,0.09935,1.186,0.108
